name,sex,race,url
A'tor,Male,Redguard,https://en.uesp.net/wiki/Redguard:A%27tor
Aaban,Male,Redguard,https://en.uesp.net/wiki/Skyrim:Slow_Time
Aaderyna,NA,Deadra,https://en.uesp.net/wiki/Online:Aaderyna
Aahin,Female,Khajiit,NA
Aahni,Female,Khajiit,NA
Aalart,NA,Breton,https://en.uesp.net/wiki/Online:Eudeline_Aalart
Aamela,Female,Dunmer,https://en.uesp.net/wiki/Online:Aamela_Rethandus
Aamela Rethandus,Female,Dunmer,https://en.uesp.net/wiki/Online:Aamela_Rethandus
Aamrila,NA,Dunmer,https://en.uesp.net/wiki/Online:Sergeant_Aamrila
Aanthis,Male,Dunmer,https://en.uesp.net/wiki/Online:Aanthis_Fadas
Aanthis Fadas,Male,Dunmer,https://en.uesp.net/wiki/Online:Aanthis_Fadas
Aarela,Female,Dunmer,https://en.uesp.net/wiki/Online:Aarela
Ab'ar,Male,Khajiit,NA
Ab'bar,Male,Khajiit,NA
Ab'bil,Male,Khajiit,NA
Ab'der,Male,Khajiit,NA
Ab'dul,Male,Khajiit,NA
Ab'gh,Male,Khajiit,NA
Ab'ir,Male,Khajiit,NA
Ab'jhad,Male,Khajiit,https://en.uesp.net/wiki/Online:Ab%27jhad
Ab'kir,Male,Khajiit,NA
Ab'med,Male,Khajiit,NA
Ab'nir,Male,Khajiit,NA
Ab'noud,Male,Khajiit,NA
Ab'sien,Male,Khajiit,NA
Ab'soud,Male,Khajiit,NA
Ab'taba,Male,Khajiit,NA
Ab'tabe,Male,Khajiit,NA
Ab'urabi,Male,Khajiit,NA
Aba-daro,Female,Khajiit,https://en.uesp.net/wiki/Online:Adhazabi_Aba-daro
Ababael,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun
Ababael,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Mausur_Ababael
Ababael Timsar-Dadisun,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun
Ababneh,NA,Redguard,https://en.uesp.net/wiki/Lore:Books_by_Author
Abadai,Female,Khajiit,https://en.uesp.net/wiki/Online:Abadai_(Desert_Wind_Caverns)
Abadai,Female,Redguard,https://en.uesp.net/wiki/Online:Abadai_(Reaper%27s_March)
Abadarun,Male,Redguard,https://en.uesp.net/wiki/Online:Abadarun
Abadi,Female,Redguard,https://en.uesp.net/wiki/Online:Abadi
Abadurr,Male,Khajiit,https://en.uesp.net/wiki/Online:Abadurr
Abadusa,Female,Khajiit,https://en.uesp.net/wiki/Online:Abadusa
Abahrimaya,Female,Khajiit,https://en.uesp.net/wiki/Online:Abahrimaya
Abal,Male,Redguard,https://en.uesp.net/wiki/Online:Abal_the_Defiler
Abal the Defiler,Male,Redguard,https://en.uesp.net/wiki/Online:Abal_the_Defiler
Abal-jo,Male,Khajiit,https://en.uesp.net/wiki/Online:Abal-jo
Abalkala,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Tis_Abalkala
Abanal,Male,Redguard,https://en.uesp.net/wiki/Online:Abanal
Abandarra-la,Female,Khajiit,https://en.uesp.net/wiki/Online:Abandarra-la
Abanilu,Male,Redguard,https://en.uesp.net/wiki/Online:Abanilu_the_Importunate
Abanilu the Importunate,Male,Redguard,https://en.uesp.net/wiki/Online:Abanilu_the_Importunate
Abanji,Female,Khajiit,https://en.uesp.net/wiki/Morrowind:Abanji
Abannah,Female,Redguard,https://en.uesp.net/wiki/Online:Abannah
Abante,Female,Redguard,https://en.uesp.net/wiki/Online:Abante
Abaram,Male,Redguard,NA
Abassel,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit
Abassel Asserbassalit,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit
Abathoth,NA,Deadra,https://en.uesp.net/wiki/Online:Abathoth
Abazadar,Male,Redguard,https://en.uesp.net/wiki/Online:Abazadar
Abazbi,Female,Khajiit,https://en.uesp.net/wiki/Online:Abazbi
Abazdul,Male,Khajiit,https://en.uesp.net/wiki/Online:Abazdul
Abazkier,Male,Khajiit,https://en.uesp.net/wiki/Online:Abazkier
Abbard,Male,Nord,https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild
Abbard the Wild,Male,Nord,https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild
Abbeh,Male,Redguard,NA
Abbess Iraldine,Female,Breton,https://en.uesp.net/wiki/Online:Abbess_Iraldine
Abbey Sister,NA,NA,https://en.uesp.net/wiki/Online:Abbey_Sister
Abbot Durak,Male,Orc,https://en.uesp.net/wiki/Online:Abbot_Durak
Abby,NA,NA,https://en.uesp.net/wiki/Online:Abby
Abdahel,Male,Redguard,https://en.uesp.net/wiki/Online:Abdahel
Abdul-Mujib,Male,Redguard,https://en.uesp.net/wiki/Lore:Books_by_Author
Abdussah,Male,Redguard,https://en.uesp.net/wiki/Online:Abdussah
Abe,NA,NA,https://en.uesp.net/wiki/Online:Abe
Abeh,Male,Redguard,NA
Abel,Male,Breton,https://en.uesp.net/wiki/Online:Abel_Mathis
Abel Mathis,Male,Breton,https://en.uesp.net/wiki/Online:Abel_Mathis
Abelaya,Female,Khajiit,https://en.uesp.net/wiki/Online:Abelaya
Abelazar,Male,Redguard,https://en.uesp.net/wiki/Online:Abelazar
Abelle,Female,Breton,https://en.uesp.net/wiki/Morrowind:Abelle_Chriditte
Abelle,Female,Breton,https://en.uesp.net/wiki/Online:Abelle_Gernand
Abelle Chriditte,Female,Breton,https://en.uesp.net/wiki/Morrowind:Abelle_Chriditte
Abelle Gernand,Female,Breton,https://en.uesp.net/wiki/Online:Abelle_Gernand
Abello,NA,Imperial,https://en.uesp.net/wiki/Online:Selvari_Abello
Abelmawia,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Hetman_Abelmawia
Abelmawia,NA,Dunmer,https://en.uesp.net/wiki/Online:Madach_Abelmawia
Abelone,Female,Nord,https://en.uesp.net/wiki/Skyrim:Abelone
Abenil,Female,Khajiit,https://en.uesp.net/wiki/Online:Abenil
Aberius,Male,Imperial,https://en.uesp.net/wiki/Online:Aberius_Geta
Aberius Geta,Male,Imperial,https://en.uesp.net/wiki/Online:Aberius_Geta
Abernura,Female,Khajiit,https://en.uesp.net/wiki/Online:Abernura
Abernura-dra,Female,Khajiit,https://en.uesp.net/wiki/Online:Abernura-dra
Abeysa,Female,Khajiit,NA
Abezzhid,NA,NA,https://en.uesp.net/wiki/Online:Abezzhid
Abhadali,Female,Khajiit,https://en.uesp.net/wiki/Online:Abhadali
Abhuki,Female,Khajiit,https://en.uesp.net/wiki/Oblivion:Abhuki
Abia,Female,Redguard,https://en.uesp.net/wiki/Online:Abia
Abiah,Male,Redguard,NA
Abibaal,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abibaal_Assillariran
Abibaal Assillariran,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abibaal_Assillariran
Abijoo-Anoo,Male,Argonian,https://en.uesp.net/wiki/Online:Abijoo-Anoo
Abilar,Male,Khajiit,https://en.uesp.net/wiki/Lore:An_Affair_with_Death
Abimfash,Female,Orc,https://en.uesp.net/wiki/Online:Abimfash
Abir,Male,Redguard,https://en.uesp.net/wiki/Online:Abir
Abiri,NA,Khajiit,NA
Abishpulu,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand
Abishpulu Shand,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand
Abitius,NA,Imperial,https://en.uesp.net/wiki/Morrowind:Fruscia_Abitius
Abizag,Male,Khajiit,https://en.uesp.net/wiki/Online:Abizag_the_Agile
Abizag the Agile,Male,Khajiit,https://en.uesp.net/wiki/Online:Abizag_the_Agile
Abizah,Female,Khajiit,https://en.uesp.net/wiki/Online:Abizah
Abiznaz,Male,Khajiit,https://en.uesp.net/wiki/Online:Abiznaz
Abizzaka,Male,Khajiit,https://en.uesp.net/wiki/Online:Abizzaka
Abnaf,Male,Redguard,https://en.uesp.net/wiki/Lore:Tharayya%27s_Journal
Abnajah,Male,Redguard,https://en.uesp.net/wiki/Online:Abnajah
Abnur,Male,Imperial,https://en.uesp.net/wiki/Online:Abnur_Tharn
Abnur Tharn,Male,Imperial,https://en.uesp.net/wiki/Online:Abnur_Tharn
Abor,NA,Imperial,https://en.uesp.net/wiki/Oblivion:Valandrus_Abor
Abradih,Female,Redguard,https://en.uesp.net/wiki/Online:Abradih
Abradun,Male,Redguard,https://en.uesp.net/wiki/Online:Sergeant_Abradun
Abrah,Male,Redguard,NA
Abrar,Female,Redguard,https://en.uesp.net/wiki/Online:Abrar
Abri,Male,Redguard,https://en.uesp.net/wiki/Online:Abri
Abrunul,Male,Redguard,https://en.uesp.net/wiki/Online:Master_Abrunul
Absolard,Male,Breton,https://en.uesp.net/wiki/Online:Absolard
Absolet,Male,Breton,https://en.uesp.net/wiki/Online:Absolet_Lemal
Absolet Lemal,Male,Breton,https://en.uesp.net/wiki/Online:Absolet_Lemal
Absolon,Male,Imperial,https://en.uesp.net/wiki/Online:Absolon
Abuana,Female,Khajiit,https://en.uesp.net/wiki/Online:Abuana
Aburapli,Male,Khajiit,https://en.uesp.net/wiki/Online:Aburapli
Aburzin,Male,Khajiit,https://en.uesp.net/wiki/Online:Aburzin
Abus,NA,Khajiit,NA
Abz,Male,Orc,https://en.uesp.net/wiki/Online:Abz
Abzag,Male,Orc,https://en.uesp.net/wiki/Online:Abzag_the_Monster
Abzag the Monster,Male,Orc,https://en.uesp.net/wiki/Online:Abzag_the_Monster
Abzrolg,Male,Orc,https://en.uesp.net/wiki/Online:Abzrolg
Abzug,Male,Orc,https://en.uesp.net/wiki/Online:Chief_Abzug
Accalia,Male,Imperial,https://en.uesp.net/wiki/Online:Accalia
Accalia,Female,Imperial,https://en.uesp.net/wiki/Online:Accalia_Celatus
Accalia Celatus,Female,Imperial,https://en.uesp.net/wiki/Online:Accalia_Celatus
Accius,NA,Imperial,https://en.uesp.net/wiki/Oblivion:Viator_Accius
